SDK,Data Types,Collected,Shared,Processed ephemerally?,Required or Optional?,Purposes,Source
Fyber,User IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Device or other IDs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Crash logs,Yes,Yes,No,Optional(Given you implement consent/Opt-Out),Advertising or marketing,
Fyber,Other actions*(Offer Wall Customers only),Yes,Yes,No,Optional(Given you implement consent/Opt-Out),App functionality,
Intercom,Email address,Yes,No,No,Required,"Developer communications, App functionality",https://www.intercom.com/help/en/articles/4686934-apple-s-app-store-data-privacy-details-and-intercom-s-ios-sdk
Intercom,Approximate Location,Yes,No,No,Required,App functionality,
Intercom,Photos,Yes,No,No,Required,App functionality,
Intercom,Videos,Yes,No,No,Required,App functionality,
Intercom,Other actions,Yes,No,No,Required,App functionality,
Intercom,In-app search history,Yes,No,No,Required,"Analytics, App functionality",
Intercom,Device or other IDs,Yes,No,No,Required,"Developer communications, App functionality, Analytics",
Intercom,App interactions,Yes,No,No,Required,"Developer communications, App functionality, Analytics",
Intercom,Custom Data as Events - Please check,Yes,No,No,Required,"Select based on implementation, will be from above list",
Mixpanel,Approximate Location,Yes,No,No,Required,"Developer communications, Analytics",https://mixpanel.com/legal/app-store-privacy-details/
Mixpanel,User IDs,Yes,No,No,Required,"Developer communications, Analytics",
Mixpanel,Device or other IDs,Yes,No,No,Required,"Developer communications, Analytics",
Mixpanel,App interactions,Yes,No,No,Required,"Developer communications, Analytics",
Mixpanel,Custom Data as Events - Please check with developers who implemented Mixpanel,Yes,No,No,Required,Select from above purposes,
Stripe,User IDs,Yes,Yes,No,Required,App functionality,https://support.stripe.com/questions/stripe-ios-sdk-privacy-details
Stripe,App interactions,Yes,Yes,No,Required,"App functionality, Analytics",
Stripe,"User payment info*(Optional, need to look at implementation)",Yes,Yes,No,Optional,App functionality,
Stripe,"Email, Phone Number*(Optional, need to look at implementation)",Yes,Yes,No,Optional,App functionality,
Revenue Cat,Purchase history,Yes,No,No,Required,"Analytics, App Functionality",https://docs.revenuecat.com/docs/google-plays-data-safety#whats-next
Revenue Cat,User IDs*(Check Implementation),Yes,No,No,Optional,"Analytics, App Functionality",
Revenue Cat,Device or other IDs,Yes,No,No,Optional,"Analytics, App Functionality",
Revenue Cat,"Name, Email address, Phone number*(Optional, need to look at implementation)",Yes,No,No,Optional,"Analytics, App Functionality",
Google Maps SDK,Device or other IDs,Yes,Yes,No,Required,Analytics,https://developers.google.com/maps/documentation/android-sdk/play-data-disclosure
Google Maps SDK,Crash logs,Yes,Yes,No,Required,Analytics,
Google Maps SDK,Diagnostics,Yes,Yes,No,Required,Analytics,
Google Maps SDK,App interactions(check implementation),Yes,Yes,No,Optional,Analytics,
Google Maps SDK,Precise Location,Yes,Yes,No,Optional,App functionality,
Google Maps SDK,Approximate Location,Yes,Yes,No,Optional,App functionality,
Snowplow SDK,Approximate Location,Yes,No,No,Optional,Analytics,https://docs.snowplowanalytics.com/docs/collecting-data/collecting-from-own-applications/mobile-trackers/android-google-play-data-safety/
Snowplow SDK,App interactions,Yes,No,No,Optional,Analytics,
Snowplow SDK,Other actions,Yes,No,No,Optional,Analytics,
Snowplow SDK,Crash logs,Yes,No,No,Optional,Analytics,
Snowplow SDK,Diagnostics,Yes,No,No,Optional,Analytics,
Snowplow SDK,Device or other IDs,Yes,No,No,Optional,Analytics,
Branch,App interactions,Yes,Yes,No,Optional,"App Functionality, Analytics, Advertising or Marketing, Personalization",https://help.branch.io/using-branch/docs/answering-the-google-play-store-privacy-questions
Branch,Other user-generated content,Yes,Yes,No,Optional,"App Functionality, Analytics, Advertising or Marketing, Personalization",
Branch,Web browsing history,Yes,Yes,No,Optional,"App Functionality, Analytics, Advertising or Marketing, Personalization",
Branch,Device or other IDs,Yes,Yes,No,Optional,"App Functionality, Analytics, Advertising or Marketing, Personalization",
Firebase Authentication SDK,App info and performance,Yes,Yes,No,Required,App functionality,https://firebase.google.com/docs/android/play-data-disclosure#data_collected_automatically_3
Google Analytics for Firebase SDK,Approximate Location,Yes,Yes,No,Required,Unkown,https://support.google.com/analytics/answer/11582702
Google Analytics for Firebase SDK,Device or other IDs,Yes,Yes,No,Required,Analytics,
Google Analytics for Firebase SDK,Purchase history,Yes,Yes,No,Required,Analytics,
Google Analytics for Firebase SDK,App interactions,Yes,Yes,No,Required,Analytics,
Microsoft App Center SDK,Crash logs,Yes,Yes,No,Required,Analytics,https://docs.microsoft.com/en-us/appcenter/gdpr/faq#app-store-privacy-report
Microsoft App Center SDK,Diagnostics,Yes,Yes,No,Required,Analytics,
Microsoft App Center SDK,Other app performance data,Yes,Yes,No,Required,Analytics,
UMP SDK,Approximate location,Yes,Yes,No,Required,App functionality,https://developers.google.com/admob/ump/android/play-data-disclosure
UMP SDK,Device or other IDs,Yes,Yes,No,Required,App functionality,
Play Billing SDK,Purchase History,Yes,No,No,Required,App functionality,No official source check implementation
Unity Analytics,Approximate location,Yes,No,No,Required,App functionality,https://docs.unity.com/analytics/GoogleDataSafety.html
Unity Analytics,User IDs,Yes,No,No,Required,App functionality,
Unity Analytics,Purchase history,Yes,No,No,Required,App functionality,
Unity Analytics,Crash logs,Yes,No,No,Required,"App functionality, Analytics",
Unity Analytics,Diagnostics,Yes,Yes,No,Required,"App functionality, Analytics",
Unity Analytics,Other app performance data,Yes,Yes,No,Required,"App functionality, Analytics",
Unity Analytics,Device or other IDs,Yes,No,No,Required,App functionality,
Unity Ads,Approximate location,Yes,Yes,No,Required,"Advertising or marketing, Analytics, App functionality, Fraud prevention, security, and compliance",
Unity Ads,User IDs,Yes,Yes,No,Required,App functionality,
Unity Ads,Purchase history,Yes,Yes,No,Optional,"Advertising or marketing, Analytics",
Unity Ads,App interactions,Yes,Yes,No,Required,"Advertising or marketing, Analytics, Fraud prevention, security, and compliance",
Unity Ads,Other actions,Yes,Yes,No,Required,"Advertising or marketing, Analytics, Fraud prevention, security, and compliance",
Unity Ads,Diagnostics,Yes,Yes,No,Required,"App functionality, Analytics",
Unity Ads,Device or other IDs,Yes,Yes,No,Required,"Advertising or marketing, Analytics, App functionality, Fraud prevention, security, and compliance",
Unity IAP,Purchase history,Yes,Yes,No,Required,"App functionality, Analytics",https://docs.unity.com/ugs-overview/Resources/IAP_Google_data_safety.pdf
Unity deltaDNA,Approximate location,Yes,No,No,Required,App functionality,https://docs.deltadna.com/account-management/7531-2/
Unity deltaDNA,User IDs,Yes,No,No,Required,App functionality,
Unity deltaDNA,Other actions,Yes,No,No,Required,Analytics,
Unity RemoteConfig,Approximate location,Yes,No,Yes,Required,App functionality,https://docs.unity.com/remote-config/GoogleDataSafety.html
Unity RemoteConfig,User IDs,Yes,No,Yes,Required,App functionality,
Unity RemoteConfig,Device or other IDs,Yes,No,Yes,Required,App functionality,
Unity Cloud Diagnostics,Crash logs,Yes,No,No,Required,Analytics,https://docs.unity.com/cloud-diagnostics/Privacy/GoogleDataSafety.html
Unity Cloud Diagnostics,Diagnostics,Yes,No,No,Required,Analytics,
Unity Cloud Diagnostics,Other app performance data,Yes,No,No,Required,Analytics,
Unity Cloud Diagnostics,Device or other IDs,Yes,No,No,Required,Analytics,
Unity Mediation,Approximate Location,Yes,Yes,No,Required,"Analytics, App functionality, Advertising or marketing",https://docs.unity.com/mediation/GoogleDataSafety.html
Unity Mediation,Device or other IDs,Yes,Yes,No,Required,"Analytics, App functionality, Advertising or marketing",
Firebase Cloud Functions for Firebase,Device or other IDs,Yes,No,No,Required,App functionality,https://firebase.google.com/docs/android/play-data-disclosure
Firebase Cloud Messaging,Device or other IDs,Yes,No,No,Required,Developer communications,https://firebase.google.com/docs/android/play-data-disclosure
Firebase Cloud Storage for Firebase,Device or other IDs,Yes,Yes,No,Required,App functionality,https://firebase.google.com/docs/android/play-data-disclosure
Firebase Dynamic Links,App interactions,Yes,No,No,Required,App functionality,https://firebase.google.com/docs/android/play-data-disclosure
Firebase Dynamic Links,Other app performance data,Yes,No,No,Required,App functionality,
Firebase In-App Messaging,Device or other IDs,Yes,No,No,Required,Developer communications,https://firebase.google.com/docs/android/play-data-disclosure
Firebase In-App Messaging,App interactions,Yes,No,No,Required,Analytics,
Firebase Installations,Device or other IDs,Yes,No,No,Required,Analytics,https://firebase.google.com/docs/android/play-data-disclosure
Firebase ML model downloader,Device or other IDs,Yes,No,No,Required,App functionality,https://firebase.google.com/docs/android/play-data-disclosure
Firebase ML model downloader,Diagnostics,Yes,No,No,Required,Analytics,
Firebase Performance Monitoring,Approximate location,Yes,No,No,Required,Analytics,https://firebase.google.com/docs/android/play-data-disclosure
Firebase Performance Monitoring,Diagnostics,Yes,No,No,Required,Analytics,
Firebase Performance Monitoring,Other app performance data,Yes,No,No,Required,Analytics,
Firebase Performance Monitoring,Device or other IDs,Yes,No,No,Required,Analytics,
Firebase Remote Config,Device or other IDs,Yes,No,No,Required,Personalization,https://firebase.google.com/docs/android/play-data-disclosure#remote-config
Firebase Remote Config,Approximate location,Yes,No,No,Required,Personalization,
Firebase Remote Config,Other info,Yes,No,No,Required,Personalization,
